Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Estebnita,"Bretage, Francia",,,76,Sulfuros,image271.png
Estebnita,"Charcos, S.L.P.",,,76,Sulfuros,image272.png
Estibinita,,,,76,Sulfuros,image273.png
Estibinita,"San Francisco del Oro, Zacatecas",,,76,Sulfuros,image274.png
Estibinita,"Sombrerete, Zacatecas",Terminales de baterías y semiconductores,,76,Sulfuros,image275.png
Estibinita,,Endurecer las aleaciones de metal,,76,Sulfuros,image276.png
Estibinita,Guerrero,,,76,Sulfuros,image277.png
Estrella de mar (Equinodermo),Baja California,Ornamental,Ing. Julio Eduardo Morales de la Garza,77,,image278.png
Estromeyerita,,"Mena de plata, en orfebrería",,78,Silicatos,image279.png
Estromeyerita,,,,78,Silicatos,image280.png
Feldespato,,,,79,Silicatos,image281.png
Fierro,"Mina de Yegua Papanoa, Guerrero",,,80,,image282.png
"Fierro, Oro Nativo","Mina Nucay, Guerrero","Produccion de Metal, Ornamental",,80,Nativo,image283.png
Florita Cinabrio,Dto.El Colorado,,,81,,image284.png
Flourita,Guanajuato,,,82,Silicatos,image285.png
Flourita,,Fundente y extraccion de flour,,82,Silicatos,image286.png
Flourita,San Luis Potosi,,,82,Silicatos,image287.png
Flourita,"Muzquiz, Coahuila",Fundente y extraccion de flour,,82,Silicatos,image288.png
Flourita,"El rodeo, Dgo",Fundente y extraccion de flour,,82,Silicatos,image289.png
Flourita,"Muzquiz, Coahuila",,,82,Silicatos,image290.png
Fluorita,,,,82,Silicatos,image291.png
Fluorita,San Luis Potosi,Fundente y extraccion de flour,,82,Silicatos,image292.png
Fluorita,Durango,,,82,Silicatos,image293.png
Fluorita,"Zaragoza, S.L.P.",,,82,Silicatos,image294.png
Fluorita,"Nalca, Chihuahua",Producción de Ácido Fluorhídrico,,82,Silicatos,image295.png
Fluorita,Minera de las Cuevas S.A. Mpio. Zaragoza,,,82,Silicatos,image296.png
Fluorita,"Municipio de Muzquiz, Coahuila",,,82,Silicatos,image297.png
Fluorita,"Muzquiz, Coahuila",,,82,Silicatos,image298.png
Fluorita,"Melchor Ocampo, Cohuila",,,82,Silicatos,image299.png
"Fluorita, Calcita, Pirita, Calcopirita",,,,82,Silicatos,image300.png
Fosforita,Municipio der Catorce S.L.P.,,,83,,image301.png
Fosforita,Villa Hgo. S.L. Potosí ,,,83,,image302.png
Galena,"Charcas, San Luis Potosi",Mena de pb,,84,Sulfuros,image303.png
Galena,"Teloloapan, Guerrero","Mena de plomo, Esmalte para vasijas ceramicas",,84,Sulfuros,image304.png
Galena,Zacatecas,Mena de plomo,,84,Sulfuros,image305.png
Galena,"Boborigame, Chihuahua",,,84,Sulfuros,image306.png
Galena,"Zultepec, México",Mena de Plomo,,84,Sulfuros,image307.png
Galena,"Cuale, Jalisco",Mena de Plomo,,84,Sulfuros,image308.png
Galena,"San Francisco del Oro, Zacatecas",Mena de Plomo,,84,Sulfuros,image309.png
Galena,"Fresnillo, Zacatecas",Mena de Plomo,,84,Sulfuros,image310.png
Galena,"Topia, Durango",Mena de Plomo,,84,Sulfuros,image311.png
